"","department","lowest_level_short_name","lowest_level_name","num_research_sub_zero","num_research_NA","num_instr_sub_zero","num_instr_NA","as_or_more_extreme_stats"
"29","Educational Psychology","BUROS","Buros Center for Testing",0,7,NA,NA,FALSE
"30","Educational Psychology","EDPS","Educational Psychology",3,0,3,1,FALSE
"31","Educational Psychology","Inst Innov","Center for Instructional Innovation",0,7,NA,NA,FALSE
"32","Electrical & Computer Engineering","ECEN","Electrical & Computer Engineering",3,0,7,0,FALSE
"33","English","ENGL","English",4,0,6,0,TRUE
"34","Entomology","Entomology","Entomology",5,0,5,1,TRUE
"35","Ethnic Studies","ETHN","Ethnic Studies",4,1,7,1,TRUE
"36","Finance","FINA","Finance (Finance + Actuarial Sci)",7,0,3,0,FALSE
"37","Food Science and Technology","FDST","Food Science and Technology",2,0,5,0,FALSE
"38","Geography","GEOG","Geography",0,7,NA,NA,FALSE
"39","Glenn Korff School of Music","MUSC","Glenn Korff School of Music",7,0,3,0,FALSE
"40","History","HIST","History",4,0,4,0,TRUE
"41","Interior Design","IDES","Interior Design",7,0,6,0,TRUE
"42","Johnny Carson School of Theatre & Film","THEA","Johnny Carson School of Theatre & Film (Carson Ctr + THEA)",7,0,7,0,TRUE
"43","Journalism","Journalism","Journalism",7,0,6,0,TRUE
"44","Landscape Architecture","LARC","Landscape Architecture",7,0,7,1,TRUE
"45","Management","ENTR","Center for Entrepreneurship",0,7,NA,NA,FALSE
"46","Management","MNGT","Management",6,0,1,0,FALSE
"47","Marketing","MRKT","Marketing",7,0,0,0,FALSE
"48","Mathematics","CSMCE","Center for Science, Mathematics & Computer Education",6,1,2,5,FALSE
"49","Mathematics","MATH","Mathematics",6,0,3,0,FALSE
"50","Mechanical & Materials Engineering","MME","Mechanical & Materials Engineering",4,0,4,0,TRUE
"51","Midwest Roadside Safety Facility","MRSF","Midwest Roadside Safety Facility",0,7,NA,NA,FALSE
"52","Modern Languages & Literatures","MODLANG","Modern Languages & Literatures",5,0,5,0,TRUE
"53","NE Center for Research on Children, Youth, Families & Schools","CYFS","NE Center for Research on Children, Youth, Families & Schools",0,7,NA,NA,FALSE
"54","Nutrition & Health Sciences","NHS","Nutrition & Health Sciences (IANR + CEHS)",3,0,4,0,FALSE
"55","Nutrition & Health Sciences","NUTR","Nutrition & Health Sciences",0,7,NA,NA,FALSE
"56","Philosophy","PHIL","Philosophy",6,0,5,1,TRUE
